"geolcode","class","abbreviation","de","de_description","fr","fr_description","it","it_description","en","en_description","color","pattern","tree"
15103039,"vlit40","Iee","Ergussgestein",,"roche effusive",,"roccia effusiva",,"effusive rock",,,,"15103001.15103037.15103039"
15103040,"vlit40","IeeAr","Alkalirhyolith",,"rhyolite alcaline",,"riolite alcalina",,"alkali rhyolite",,,,"15103001.15103037.15103039.15103040"
15103041,"vlit40","IeeRy","Rhyolith",,"rhyolite",,"riolite",,"rhyolite",,,,"15103001.15103037.15103039.15103041"
15103042,"vlit40","IeeRd","Rhyodazit",,"rhyodacite",,"riodacite",,"rhyodacite",,,,"15103001.15103037.15103039.15103042"
15103043,"vlit40","IeeDa","Dazit",,"dacite",,"dacite",,"dacite",,,,"15103001.15103037.15103039.15103043"
15103044,"vlit40","IeeQa","Quarzandesit",,"andésite quartzique",,"quarzo-andesite",,"quartz andesite",,,,"15103001.15103037.15103039.15103044"
15103045,"vlit40","IeeAn","Andesit",,"andésite",,"andesite",,"andesite",,,,"15103001.15103037.15103039.15103045"
15103046,"vlit40","IeeAt","Alkalitrachyt",,"trachite alcaline",,"trachite alcalina",,"alkali trachyte",,,,"15103001.15103037.15103039.15103046"
15103047,"vlit40","IeeTr","Trachyt",,"trachite",,"trachite",,"trachyte",,,,"15103001.15103037.15103039.15103047"
15103048,"vlit40","IeeBa","Basalt",,"basalte",,"basalto",,"basalt",,,,"15103001.15103037.15103039.15103048"
15103049,"vlit40","IeePi","Pikrit, Intrusivgestein",,"picrite, roche intrusive",,"picrite",,"picrite",,,,"15103001.15103037.15103039.15103049"
15103050,"vlit40","IeePh","Phonolith",,"phonolite",,"fonolite",,"phonolite",,,,"15103001.15103037.15103039.15103050"
15103051,"vlit40","IeeKa","Karbonatit",,"carbonatite",,"carbonatite",,"carbonatite",,,,"15103001.15103037.15103039.15103051"
15103053,"vlit40","Iep","Pyroklasitsches Gestein (vulkanischer Tuff, >75% pyroklast. Komp.)",,"roche pyroclastique (tuf volcanique, > 75 % comp. pyrocl.)",,"piroclastite, roccia piroclastica (tufo vulcanico, > 75% comp. pirocl.)",,"pyroclastic rock (volcanic tuff, >75% pyroclastic components)",,,,"15103001.15103037.15103053"
15103054,"vlit40","IepIg","Ignimbrit",,"ignimbrite",,"ignimbrite",,"ignimbrite",,,,"15103001.15103037.15103053.15103054"
15103055,"vlit40","IepBp","Pyroklastische Brekzie",,"brèche pyroclastique",,"breccia piroclastica",,"pyroclastic breccia",,,,"15103001.15103037.15103053.15103055"
15103056,"vlit40","IepLt","Lapillituff",,"lapilli",,"lapilli",,"lapilli tuff",,,,"15103001.15103037.15103053.15103056"
15103057,"vlit40","IepKt","Kristalltuff",,"tuf à cristaux",,"tufo cristallino",,"crystal tuff",,,,"15103001.15103037.15103053.15103057"
15103058,"vlit40","IepAt","Aschentuff",,"cendres volcaniques tuffitique",,"ceneri vulcaniche tufitice",,"ash tuff",,,,"15103001.15103037.15103053.15103058"
15103060,"vlit40","Iet","Tuffit (pyroklast. + nicht-vulkan. Sedimente, 75-25% pyroklast. Komp.)",,"tuffite (roche volcano-sédimentaire , 75–25 % comp. pyrocl.)",,"tufite (roccia vulcano-sedimentaria, 75–25% comp. pirocl.)",,"tuffite (pyroclastic and non-volcanic sediments, 75-25% pyroclastic components)",,,,"15103001.15103037.15103060"
15103061,"vlit40","IetBt","tuffitische Brekzie",,"brèche tuffitique",,"breccia tufitica",,"tuff breccia",,,,"15103001.15103037.15103060.15103061"
15103062,"vlit40","IetKt","tuffitisches Konglomerat",,"poudingue tuffitique",,"conglomerato tufitico",,"tuffitic conglomerate",,,,"15103001.15103037.15103060.15103062"
15103063,"vlit40","IetSa","tuffitischer Sandstein",,"grès tuffitique",,"arenaria tufitica",,"tuffitic sandstone",,,,"15103001.15103037.15103060.15103063"
15103064,"vlit40","IetSt","tuffitischer Siltstein",,"siltite tuffitique",,"siltite tufitica",,"tuffitic siltstone",,,,"15103001.15103037.15103060.15103064"
15103065,"vlit40","IetTt","tuffitischer Tonstein",,"argilite tuffitique",,"argillite tufitica",,"tuffitic claystone",,,,"15103001.15103037.15103060.15103065"
15103066,"vlit40","IetBe","Bentonit",,"bentonite",,"bentonite",,"bentonite",,,,"15103001.15103037.15103060.15103066"
15104001,"vlit40","MET","Metamorphit",,"roche métamorphique",,"roccia metamorfica",,"metamorphic rock",,,,"15104001"
15104003,"vlit40","Mt","Gestein der Störungszone/Tektonit",,"roche liée au zone de déformation",,"roccia legata a una zona di deformazione",,"fault zone rock",,,,"15104001.15104003"
15104005,"vlit40","Mtk","Kakirit (stark zerrüttet und zerschert, ± kohäsionslos)",,"kakirite (± sans cohésion)",,"cachirite (± senza coesione)",,"kakirite (strongly shattered and sliced, ± without cohesion)",,,"15104005.svg","15104001.15104003.15104005"
15104006,"vlit40","MtkGm","Gesteinsmehl",,"roche pulvérisée",,"roccia polverizzata",,"fault gouge",,,"15104005.svg","15104001.15104003.15104005.15104006"
15104007,"vlit40","MtkKl","Kluftletten",,"argile de faille",,"argilla di faglia",,"clay smear",,,"15104005.svg","15104001.15104003.15104005.15104007"
15104008,"vlit40","MtkBt","tektonische Brekzie (kohäsionslos)",,"brèche de faille",,"breccia di faglia (senza coesione)",,"fault breccia (without cohesion)",,,"15104005.svg","15104001.15104003.15104005.15104008"
15104010,"vlit40","Mtc","Kataklasit (mit grösseren Bruchstücken des Nebengesteins, vorwiegend spröd deformiert)",,"cataclasite (déformation surtout fragile)",,"cataclasite (deformazione soprattutto fragile)",,"cataclasite (with larger fragments of neighbouring rock, mainly brittle deformation)",,,"15104014.svg","15104001.15104003.15104010"
15104011,"vlit40","MtcRw","kataklastische Rauwacke",,"cornieule cataclastique",,"dolomia cariata cataclasitica, cargnòla cataclasitica",,"cataclastic cellular dolomite",,,"15104014.svg","15104001.15104003.15104010.15104011"
15104012,"vlit40","MtcDb","tektonische Dolomitbrekzie",,"brèche tectonique dolomitique",,"breccia tettonica dolomitica",,"tectonic dolomite breccia",,,"15104014.svg","15104001.15104003.15104010.15104012"
15104013,"vlit40","MtcBt","tektonische Brekzie (kohäsiv)",,"brèche tectonique",,"breccia tettonica, o di frizione (con coesione)",,"tectonic breccia (with cohesion)",,,"15104014.svg","15104001.15104003.15104010.15104013"
15104014,"vlit40","MtcPk","Protokataklasit",,"protocataclasite",,"protocataclasite",,"protocataclasite",,,"15104014.svg","15104001.15104003.15104010.15104014"
15104015,"vlit40","MtcMk","(Meso)Kataklasit",,"(méso)cataclasite",,"(meso)cataclasite",,"(meso)cataclasite",,,"15104014.svg","15104001.15104003.15104010.15104015"
15104016,"vlit40","MtcUk","Ultrakataklasit",,"ultracataclasite",,"ultracataclasite",,"ultracataclasite",,,"15104014.svg","15104001.15104003.15104010.15104016"
15104018,"vlit40","Mtm","Mylonit undifferenziert (dynamisch rekristallisiert, gebändert, duktil deformiert)",,"mylonite indifférencié (déformation ductile)",,"milonite indifferenziato (ricristallizzazione dinamica, deformazione duttile)",,"mylonite undifferenciated (dynamic recristallisation, banded, ductile deformation)",,,"15104018.svg","15104001.15104003.15104018"
15104019,"vlit40","MtmPm","Protomylonit",,"protomylonite",,"protomilonite",,"protomylonite",,,"15104018.svg","15104001.15104003.15104018.15104019"
15104020,"vlit40","MtmMy","Mylonit",,"mylonite",,"milonite",,"mylonite",,,"15104018.svg","15104001.15104003.15104018.15104020"
15104021,"vlit40","MtmUm","Ultramylonit",,"ultramylonite",,"ultramilonite",,"ultramylonite",,,"15104018.svg","15104001.15104003.15104018.15104021"
15104023,"vlit40","Mtp","Phyllonit (duktil deformiert)",,"phyllonite (déformation ductile)",,"fillonite (deformazione duttile)",,"phyllonite (ductile deformation)",,,,"15104001.15104003.15104023"
15104025,"vlit40","Mtt","Pseudotachylit (durch Reibungswärme aufgeschmolzen)",,"pseudotachylite",,"pseudotachilite",,"pseudotachylite (melted by frictional heat)",,,,"15104001.15104003.15104025"
15104027,"vlit40","Mr","Gestein der Regional- und Kontaktmetamorphose",,"roche du métamorphisme régional et du contact",,"roccia di metamorfismo regionale e di contatto",,"rock resulting from regional- or contact metamorphism",,,,"15104001.15104027"
15104029,"vlit40","Mrp","Phyllit (sehr dünnschiefrig-blättrig)",,"phyllite (finement litée)",,"fillade (a foliazione molto sottile)",,"phyllite (very thin foliation, flaky)",,,,"15104001.15104027.15104029"
15104031,"vlit40","Mrs","Schiefer (in 0.1 bis 1 cm-dicke Platten spaltend)",,"schiste (se délitant en feuillets de 0,1 à 1 cm)",,"scisto (che si falda in foglietti di 0,1 a 1 cm di spessore)",,"schist (splitting in 0.1 - 1 cm thin plates)",,,"15104031.svg","15104001.15104027.15104031"
15104032,"vlit40","MrsTs","Tonschiefer",,"ardoise",,"ardesia",,"shale",,,"15104032.svg","15104001.15104027.15104031.15104032"
15104033,"vlit40","MrsSs","Serizitschiefer",,"séricitoschiste",,"scisto a sericite",,"sericite schist",,,"15104031.svg","15104001.15104027.15104031.15104033"
15104034,"vlit40","MrsCs","Chloritschiefer",,"chloritoschiste",,"cloritoscisto",,"chlorite schist",,,"15104031.svg","15104001.15104027.15104031.15104034"
15104035,"vlit40","MrsGs","Glimmerschiefer",,"micaschiste",,"micascisto",,"mica schist",,,"15104031.svg","15104001.15104027.15104031.15104035"
15104036,"vlit40","MrsGl","Glaukophanschiefer",,"schiste à glaucophane",,"scisto a glaucofane",,"glaucophane schist",,,"15104031.svg","15104001.15104027.15104031.15104036"
15104037,"vlit40","MrsKs","Kalkschiefer",,"calcschiste",,"calcescisto",,"calcareous schist",,,"15104031.svg","15104001.15104027.15104031.15104037"
15104038,"vlit40","MrsPr","Prasinit",,"prasinite",,"prasinite",,"prasinite",,,"15104031.svg","15104001.15104027.15104031.15104038"
15104039,"vlit40","MrsTa","Talkschiefer",,"talcschiste",,"talcoscisto",,"talc schist",,,"15104031.svg","15104001.15104027.15104031.15104039"
15104101,"vlit40","MrsGg","Granat-Glimmerschiefer",,"micaschiste à grenat",,"micascisto a granato",,"garnet mica schist",,,"15104031.svg","15104001.15104027.15104031.15104101"
15104102,"vlit40","MrsGr","Grünschiefer",,"schiste vert",,"scisto verde",,"greenschist",,,"15104031.svg","15104001.15104027.15104031.15104102"
15104103,"vlit40","MrsQs","Quarzschiefer",,"quartzschiste",,"scisto a quarzite",,"quartzite schist",,,"15104031.svg","15104001.15104027.15104031.15104103"
15104041,"vlit40","Mrg","Gneis (in cm- bis dm-dicke Platten spaltend)",,"gneiss (se délitant en plaques cm–dm)",,"gneiss (che si sfalda in placche di cm–dm di spessore)",,"gneiss (splitting in cm- or dm sized plates)",,,"15104041.svg","15104001.15104027.15104041"
15104042,"vlit40","MrgAu","Augengneis",,"gneiss oeillé",,"gneiss occhiadino",,"augen gneiss",,,"15104041.svg","15104001.15104027.15104041.15104042"
15104043,"vlit40","MrgBg","Bändergneis",,"gneiss rubané",,"gneiss a bande",,"banded gneiss",,,"15104041.svg","15104001.15104027.15104041.15104043"
15104044,"vlit40","MrgAd","Adergneis",,"gneiss veiné",,"gneiss venato",,"veined gneiss",,,"15104041.svg","15104001.15104027.15104041.15104044"
15104045,"vlit40","MrgZg","Zweiglimmergneis",,"gneiss à deux micas",,"gneiss a due miche",,"two-mica gneiss",,,"15104041.svg","15104001.15104027.15104041.15104045"
15104046,"vlit40","MrgGa","agmatitischer Gneis",,"gneiss agmatique",,"gneiss agmatico",,"agmatic gneiss",,,"15104041.svg","15104001.15104027.15104041.15104046"
15104047,"vlit40","MrgLe","Leptinit",,"gneiss amphibolitique",,"gneiss anfibolitico",,"amphibolite gneiss",,,"15104041.svg","15104001.15104027.15104041.15104047"
15104048,"vlit40","MrgPg","Paragneis",,"amphibolite rubané",,"anfibolite a bande",,"banded amphibolite",,,"15104041.svg","15104001.15104027.15104041.15104048"
15104049,"vlit40","MrgOg","Orthogneis",,"leptynite",,"leptite",,"leptinite",,,"15104041.svg","15104001.15104027.15104041.15104049"
15104050,"vlit40","MrgSt","Stronalit",,"paragneiss",,"paragneiss",,"paragneiss",,,"15104041.svg","15104001.15104027.15104041.15104050"
15104051,"vlit40","MrgKi","Kinzigit",,"orthogneiss",,"ortogneiss",,"orthogneiss",,,"15104041.svg","15104001.15104027.15104041.15104051"
15104061,"vlit40","MrgBa","Bänderamphibolit",,"stronalite",,"stronalite",,"stronalite",,,"15104041.svg","15104001.15104027.15104041.15104061"
15104063,"vlit40","MrgAg","Amphibolitgneis",,"kinzigite",,"kinzigite",,"kinzigite",,,"15104041.svg","15104001.15104027.15104041.15104063"
15104053,"vlit40","Mrf","Fels (mit granoblastischer Textur)",,"roche à texture granoblastique",,"roccia a tessitura granoblastica",,"fels (with granoblastic texture)",,,"15104055.svg","15104001.15104027.15104053"
15104054,"vlit40","MrfKf","Kalksilikatfels",,"roche à calcsilicates",,"calcefiro",,"calcsilicate rock",,,"15104055.svg","15104001.15104027.15104053.15104054"
15104055,"vlit40","MrfMf","Marmor",,"marbre",,"marmo",,"marble",,,"15104055.svg","15104001.15104027.15104053.15104055"
15104056,"vlit40","MrfKs","Karbonat- und Silikat führendes Gestein",,"roche à carbonates et silicates",,"roccia carbonatica e silicea",,"carbonate- and silicate-bearing rock",,,"15104055.svg","15104001.15104027.15104053.15104056"
15104057,"vlit40","MrfMs","silikatreicher Marmor",,"cipolin",,"cipollino",,"cipolin",,,"15104055.svg","15104001.15104027.15104053.15104057"
15104058,"vlit40","MrfGr","Granulit",,"granulite",,"granulite",,"granulite",,,"15104055.svg","15104001.15104027.15104053.15104058"
15104059,"vlit40","MrfRo","Rodingit",,"rodingite",,"rodingite",,"rodingite",,,"15104041.svg","15104001.15104027.15104053.15104059"
15104060,"vlit40","MrfAm","Amphibolit",,"amphibolite",,"anfibolite",,"amphibolite",,,"15104041.svg","15104001.15104027.15104053.15104060"
15104062,"vlit40","MrfSa","Schollenamphibolit",,"amphibolite à blocs",,"anfibolite a blocchi",,"amphibolite with agmatitic structure",,,"15104041.svg","15104001.15104027.15104053.15104062"
15104064,"vlit40","MrfEk","Eklogit",,"éclogite",,"eclogite",,"eclogite",,,"15104041.svg","15104001.15104027.15104053.15104064"
15104065,"vlit40","MrfPe","metamorpher Peridotit",,"péridotite métamorphique",,"peridotite metamorphico",,"metamorphic peridodite ",,,"15104041.svg","15104001.15104027.15104053.15104065"
15104067,"vlit40","Mrh","Hornfels",,"hornfels",,"cornubianite, hornfels",,"hornfels",,,"15104041.svg","15104001.15104027.15104067"
15104069,"vlit40","Mrm","Metasomatit",,"métasomatite",,"metasomatite",,"metasomatite",,,,"15104001.15104027.15104069"
15104070,"vlit40","MrmSk","Skarn",,"skarn",,"skarn",,"skarn",,,,"15104001.15104027.15104069.15104070"
15104071,"vlit40","MrmGr","Greisen",,"greisen",,"greisen",,"greisen",,,,"15104001.15104027.15104069.15104071"
15104072,"vlit40","MrmGf","Gneis mit Feldspatblasten",,"gneiss à blastes de feldspath",,"gneiss a blasti di feldspato",,"gneiss with feldsparblasts",,,,"15104001.15104027.15104069.15104072"
15104074,"vlit40","Mra","migmatitischer Anatexit",,"anatexite migmatitique",,"anatessite migmatitico",,"migmatitic anatexite migmatite",,,,"15104001.15104027.15104074"
15104075,"vlit40","MraMi","Migmatit",,"migmatite",,"migmatite",,"migmatite",,,,"15104001.15104027.15104074.15104075"
15104076,"vlit40","MraMf","Metatexit mit Fleckentextur",,"métatexite à structure tachetée",,"metatessite a struttura stictolitica",,"metatexite with spotted structure",,,,"15104001.15104027.15104074.15104076"
15104077,"vlit40","MraMs","Metatexit mit stromatitischer Textur",,"métatexite à structure stromatitique",,"metatessite a struttura stromatitica",,"metatexite with stromatitic structure",,,,"15104001.15104027.15104074.15104077"
15104078,"vlit40","MraMn","Metatexit mit Netztextur",,"métatexite à structure en réseau",,"metatessite a struttura reticolare",,"metatexite with reticulated structure",,,,"15104001.15104027.15104074.15104078"
15104079,"vlit40","MraDn","Diatexit mit nebulitischer Textur",,"diatexite à structure nébulitique",,"diatessite a struttura nebulitica",,"diatexite with nebulitic structure",,,,"15104001.15104027.15104074.15104079"
15104080,"vlit40","MraDs","Diatexit mit Schlierentextur",,"diatexite à structure artéritique",,"diatessite a struttura striata",,"diatexite with schlieren structure",,,,"15104001.15104027.15104074.15104080"
15104081,"vlit40","MraSt","Diatexit mit Schollentextur",,"diatexite à enclaves",,"diatessite con inclusioni",,"diatexite with schollen structure",,,,"15104001.15104027.15104074.15104081"
15104083,"vlit40","Ms","spezifischer Name",,"type spécifique",,"tipo specifico",,"specific name",,,,"15104001.15104083"
15104084,"vlit40","Msmun","monomineralisches Gestein",,"roche monominérale",,"roccia monomineralica",,"monomineralic rock",,,,"15104001.15104083.15104084"
15104085,"vlit40","MsmBi","Biotitit",,"biotitite",,"biotitite",,"biotitite",,,,"15104001.15104083.15104084.15104085"
15104086,"vlit40","MsmHb","Hornblenditit",,"hornblendite",,"orneblendite",,"hornblendite",,,,"15104001.15104083.15104084.15104086"
15104087,"vlit40","MsmAl","Albitit",,"albitite",,"albitite",,"albitite",,,,"15104001.15104083.15104084.15104087"
15104088,"vlit40","MsmPy","monomineralischer Pyroxenit ",,"pyroxénite monominérale",,"pirossenite monomineralica",,"monomineralic pyroxenite",,,,"15104001.15104083.15104084.15104088"
15104089,"vlit40","MsmCh","Chloritit",,"chloritite",,"fillade cloritica, cloritoscisto",,"chloritite",,,,"15104001.15104083.15104084.15104089"
15104090,"vlit40","MsmSe","Serpentinit",,"serpentinite",,"serpentinite",,"serpentinite",,,,"15104001.15104083.15104084.15104090"
15104091,"vlit40","MsmQu","monomineralischer Quarzit ",,"quartzite monominérale",,"quarzite monomineralica",,"monomineralic quartzite",,,"15104091.svg","15104001.15104083.15104084.15104091"
15104099,"vlit40","MsmOp","Ophikalzit",,"ophicalcite",,"ophicalcite",,"ophicalcite",,,,"15104001.15104083.15104084.15104099"
15104092,"vlit40","Mp","Protolith erkennbar",,"protolithe reconnaissable",,"protolito riconoscibile",,"protolite recognisable",,,,"15104001.15104092"
15104201,"vlit40","MpsSe","Metasediment",,"métasédiment",,"metasedimento",,"metasediment",,,,"15104001.15104092.15104093.15104201"
15104202,"vlit40","MpsPs","Metapsephit",,"métaconglomérat",,"metaconglomerato",,"metapsephite",,,,"15104001.15104092.15104093.15104202"
15104203,"vlit40","MpsBr","Metabrekzie",,"métabrèche",,"metabreccia",,"metabreccia",,,,"15104001.15104092.15104093.15104203"
15104204,"vlit40","MpsKg","Metakonglomerat",,"métapoudingue",,"metapuddinga",,"metaconglomerate",,,,"15104001.15104092.15104093.15104204"
15104205,"vlit40","MpsSa","Metasandstein",,"métagrès",,"meta-arenaria",,"metasandstone",,,,"15104001.15104092.15104093.15104205"
15104206,"vlit40","MpsQu","Quarzit (sedimentärer Protolith)",,"quartzite (protolithe sédimentaire)",,"quarzite (protolito sedimentario)",,"quartzite (sedimentary protolite)",,,,"15104001.15104092.15104093.15104206"
15104207,"vlit40","MpsPm","Metapsammit",,"méta-arénite",,"meta-arenite",,"metapsammite",,,,"15104001.15104092.15104093.15104207"
15104208,"vlit40","MpsAr","Metaarkose",,"méta-arkose",,"meta-arcosa",,"meta-arkose",,,,"15104001.15104092.15104093.15104208"
15104209,"vlit40","MpsGw","Metagrauwacke",,"métagrauwacke",,"metagrovacca",,"metagreywacke",,,,"15104001.15104092.15104093.15104209"
15104210,"vlit40","MpsSg","Geröll führender Metasandstein",,"métagrès à galets",,"meta-arenaria a ciottoli",,"pebble bearing metasandstone",,,,"15104001.15104092.15104093.15104210"
15104211,"vlit40","MpsPe","Metapelit",,"métapélite",,"metapelite",,"metapelite",,,,"15104001.15104092.15104093.15104211"
15104212,"vlit40","MpsSs","Metasiltstein",,"métasiltite",,"metasiltite",,"metasiltstone",,,,"15104001.15104092.15104093.15104212"
15104213,"vlit40","MpsTs","Tonschiefer (sedimentärer Protolith)",,"méta-argilite (protolithe sédimentaire)",,"meta-argillite (protolito sedimentario)",,"slate (sedimentary protolite)",,,,"15104001.15104092.15104093.15104213"
15104214,"vlit40","MpsMe","Metamergel",,"métamarne",,"metamarna",,"metamarl",,,,"15104001.15104092.15104093.15104214"
15104215,"vlit40","MpsMa","Marmor (sedimentärer Protolith)",,"marbre (protolithe sédimentaire)",,"marmo (protolito sedimentario)",,"marble (sedimentary protolite)",,,"15104055.svg","15104001.15104092.15104093.15104215"
15104216,"vlit40","MpsMd","dolomitischer Marmor",,"marbre dolomitique",,"marmo dolomitico",,"dolomitic marble",,,"15104216.svg","15104001.15104092.15104093.15104216"
15104217,"vlit40","MpsRa","Metaradiolarit",,"métaradiolarite",,"metaradiolarite",,"metaradiolarite",,,,"15104001.15104092.15104093.15104217"
15104218,"vlit40","MpsKa","Metakarbonat",,"métaroche carbonatée",,"metaroccia carbonatica",,"metacarbonate ",,,,"15104001.15104092.15104093.15104218"
15104095,"vlit40","Mpm","magmatischer Protolith erkennbar",,"protolithe magmatique reconnaissable",,"protolito magmatico riconoscibile",,"igneous protolite recognisable",,,,"15104001.15104092.15104095"
15104401,"vlit40","MpmMa","Metamagmatit",,"métamagmatite",,"metamagmatite",,"metaigneous rock",,,,"15104001.15104092.15104095.15104401"
15104402,"vlit40","MpmIg","metamorph überprägtes Intrusivgestein",,"métaroche intrusive",,"metaroccia intrusiva",,"meta-intrusive rock",,,,"15104001.15104092.15104095.15104402"
15104403,"vlit40","MpmPl","Metaplutonit",,"métaroche plutonique",,"metaroccia plutonica",,"metaplutonite",,,,"15104001.15104092.15104095.15104403"
15104404,"vlit40","MpmAg","Metaalkalogranit",,"métagranite alcalin",,"metagranito alcalino",,"meta-alkali granite",,,,"15104001.15104092.15104095.15104404"
15104405,"vlit40","MpmGr","Metagranit",,"métagranite",,"metagranito",,"metagranite",,,,"15104001.15104092.15104095.15104405"
15104406,"vlit40","MpmGd","Metagranodiorit",,"métagranodiorite",,"metagranodiorite",,"metagranodiorite",,,,"15104001.15104092.15104095.15104406"
15104407,"vlit40","MpmQd","Metaquarzdiorit",,"métadiorite quartzique",,"metaquarzodiorite ",,"metaquartz diorite",,,,"15104001.15104092.15104095.15104407"
15104408,"vlit40","MpmTo","Metatonalit",,"métatonalite",,"metatonalite",,"metatonalite",,,,"15104001.15104092.15104095.15104408"
15104409,"vlit40","MpmDi","Metadiorit",,"métadiorite",,"metadiorite",,"metadiorite",,,,"15104001.15104092.15104095.15104409"
15104410,"vlit40","MpmSy","Metasyenit",,"métasyénite",,"metasienite",,"metasyenite",,,,"15104001.15104092.15104095.15104410"
15104411,"vlit40","MpmAs","Metaalkalisyenit",,"métasyénite alcaline",,"metasienite alcalina",,"meta-alkali syenite",,,,"15104001.15104092.15104095.15104411"
15104412,"vlit40","MpmQg","Metaquarzgabbro",,"métagabbro quartzique",,"metaquarzogabbro",,"metaquartz gabbro",,,,"15104001.15104092.15104095.15104412"
15104413,"vlit40","MpmGb","Metagabbro",,"métagabbro",,"metagabbro",,"metagabbro",,,,"15104001.15104092.15104095.15104413"
15104414,"vlit40","MpmNo","Metanorit",,"métanorite",,"metanorite",,"metanorite",,,,"15104001.15104092.15104095.15104414"
15104415,"vlit40","MpmMd","Metamonzodiorit",,"métamonzodiorite",,"metamonzodiorite",,"metamonzodiorite",,,,"15104001.15104092.15104095.15104415"
15104416,"vlit40","MpmMg","Metamonzogabbro",,"métamonzogabbro",,"metamonzogabbro",,"metamonzogabbro",,,,"15104001.15104092.15104095.15104416"
15104417,"vlit40","MpmMo","Metamonzonit",,"métamonzonite",,"metamonzonite",,"metamonzonite",,,,"15104001.15104092.15104095.15104417"
15104418,"vlit40","MpmPy","Metapyroxenit",,"métapyroxénite",,"metapirossenite",,"metapyroxenite",,,,"15104001.15104092.15104095.15104418"
15104419,"vlit40","MpmPe","Metaperidotit",,"métapéridotite",,"metaperidotite",,"metaperidotite",,,,"15104001.15104092.15104095.15104419"
15104420,"vlit40","MpmSn","nephelinitischer Metasyenit",,"métasyénite néphélinique",,"metasienite nefelinica",,"nephelinitic metasyenite",,,,"15104001.15104092.15104095.15104420"
15104421,"vlit40","MpmEs","Metaessexit",,"méta-essexite",,"meta-essexite",,"meta-essexite",,,,"15104001.15104092.15104095.15104421"
15104422,"vlit40","MpmGp","Metagranophyr",,"métagranophyre",,"metagranofiro",,"metagranophyre",,,,"15104001.15104092.15104095.15104422"
15104423,"vlit40","MpmGg","Metaganggestein",,"métaroche filonienne",,"metaroccia filoniana",,"metadyke rock",,,,"15104001.15104092.15104095.15104423"
15104424,"vlit40","MpmMi","Metamikrogranit",,"métamicrogranite",,"metamicrogranito",,"metamicrogranite",,,,"15104001.15104092.15104095.15104424"
15104426,"vlit40","MpmPg","Metapegmatit",,"métapegmatite",,"metapegmatite",,"metapegmatite",,,,"15104001.15104092.15104095.15104426"
15104427,"vlit40","MpmAp","Metaaplit",,"méta-aplite",,"meta-aplite",,"meta-aplite",,,,"15104001.15104092.15104095.15104427"
15104428,"vlit40","MpmMt","Metamikrodiorit",,"métamicrodiorite",,"metamicrodiorite",,"metamicrodiorite",,,,"15104001.15104092.15104095.15104428"
15104429,"vlit40","MpmGa","Metamikrogabbro",,"métamicrogabbro",,"metamicrogabbro",,"metamicrogabbro",,,,"15104001.15104092.15104095.15104429"
15104430,"vlit40","MpmLa","Metalamprophyr",,"métalamprophyre",,"metalamprofiro",,"metalamphrophyre",,,,"15104001.15104092.15104095.15104430"
15104431,"vlit40","MpmPi","Metapikrit",,"métapicrite",,"metapicrite",,"metapicrite",,,,"15104001.15104092.15104095.15104431"
15104432,"vlit40","MpmDo","Metadolerit",,"métadolérite",,"metadolerite",,"metadolerite",,,,"15104001.15104092.15104095.15104432"
15104433,"vlit40","MpmAr","Metaalkalirhyolith",,"métarhyolite alcaline",,"metariolite alcalina",,"meta-alkali rhyolite",,,,"15104001.15104092.15104095.15104433"
15104434,"vlit40","MpmRy","Metarhyolith",,"métarhyolite",,"metariolite",,"metarhyolite",,,,"15104001.15104092.15104095.15104434"
15104435,"vlit40","MpmRd","Metarhyodazit",,"métarhyodacite",,"metariodacite",,"metarhyodacite",,,,"15104001.15104092.15104095.15104435"
15104436,"vlit40","MpmDa","Metadazit",,"métadacite",,"metadacite",,"metadacite",,,,"15104001.15104092.15104095.15104436"
15104437,"vlit40","MpmQa","Metaquarzandesit",,"méta-andésite quartzique",,"metaquarzo-andesite",,"metaquartz andesite",,,,"15104001.15104092.15104095.15104437"
15104438,"vlit40","MpmAn","Metaandesit",,"méta-andésite",,"meta-andesite",,"meta-andesite",,,,"15104001.15104092.15104095.15104438"
15104439,"vlit40","MpmAt","Metaalkalitrachyt",,"métatrachite alcaline",,"metatrachite alcalina",,"meta-alkali trachyte",,,,"15104001.15104092.15104095.15104439"
15104440,"vlit40","MpmTr","Metatrachyt",,"métatrachite",,"metatrachite",,"metatrachyte",,,,"15104001.15104092.15104095.15104440"
15104441,"vlit40","MpmBa","Metabasalt",,"métabasalte",,"metabasalto",,"metabasalt",,,,"15104001.15104092.15104095.15104441"
15104443,"vlit40","MpmPh","Metaphonolit",,"métaphonolite",,"metapicrite",,"metapicrite",,,,"15104001.15104092.15104095.15104443"
15104444,"vlit40","MpmMp","metamorph überprägtes pyroklastisches Gestein",,"métaroche pyroclastique",,"metafonolite",,"metaphonolite",,,,"15104001.15104092.15104095.15104444"
15104445,"vlit40","MpmIg","Metaignimbrit",,"méta-ignimbrite",,"metaroccia piroclastica",,"metapyroclastic rock",,,,"15104001.15104092.15104095.15104445"
15104446,"vlit40","MpmVu","Metavulkanit",,"métavulcanite",,"meta-ignimbrite",,"meta-ignimbrite",,,,"15104001.15104092.15104095.15104446"
4000,"vlit40","unknown","Unbekannt",,"Inconnu",,"Sconosciuto",,"Unknown",,,,"15104001.15104092.15104095.15104447"
